utc_timestamp,Bill_0,Bill_1,Bill_2,Bill_3,Bill_4,Bill_5,Bill_6,Bill_7,Bill_8,Bill_9,Bill_Trading_Company
2019-09-30,1.1169519629823979,0.20998454328828803,0.8369416554791551,-1.2563199999999999,-0.9422399999999996,-1.8844799999999995,0.13998660388030618,0.9556487031345481,0.16797835969497285,0.6555481715403333,0.0
2019-10-31,37.663005241559844,9.26116625135795,22.842838134643166,-39.209344,-29.407007999999987,-58.81401599999998,5.92691629039469,27.90662237588685,6.667349369554536,17.162470336602787,-0.0
2019-11-30,37.767690541716824,2.01667620594986,30.730758918796724,-40.500992000000004,-30.375743999999987,-60.751487999999995,0.9096478024678767,36.31396251916152,0.3089319602638038,23.580556051643335,-0.0
2019-12-31,48.71410040757505,-6.08544,42.95506222538781,-42.51008,-31.88255999999999,-63.76511999999999,-9.573568000000018,50.5025070125939,-21.41817599999999,33.06327435444333,0.0
2020-01-31,51.270165956514575,1.1097570970502082,36.47589626484458,-45.22688,-33.92015999999999,-67.84031999999999,-2.4441120000000174,46.96574218863894,-12.833903999999992,26.44381449295171,0.0
2020-02-29,37.36040998919559,2.947245622426759,31.12004927639061,-41.52064000000001,-31.14047999999999,-62.280959999999986,1.7337604266609083,35.878611749218784,1.6645865330706173,24.237416403036843,0.0
2020-03-31,37.85445627166065,8.925141904380947,25.048987404558915,-41.019648,-30.76473599999999,-61.52947199999999,5.859566636794582,29.494049626375205,6.868529625126616,19.263124531102978,-0.0
2020-04-30,33.19164614803357,17.531036633999364,12.366013184990612,-35.17056,-26.377919999999985,-52.75583999999999,11.942266010895192,15.249912668011468,14.789554071886348,9.233891282183771,0.0
2020-05-31,33.30768419103172,13.48968909420976,17.18895855790167,-36.297216,-27.222911999999987,-54.44582399999999,9.179878712054803,20.22237268315198,11.352009223112699,13.225359538537282,-0.0
2020-06-30,33.39126733484199,13.771674677951633,16.789872589390917,-36.18624,-27.139679999999984,-54.27935999999999,9.357200267816198,19.88371988207973,11.54559118990664,12.865954058012848,-0.0
2020-07-31,37.55354597586091,16.917290426425225,15.047500156792319,-38.343808,-28.75785599999999,-57.515711999999986,11.28322775923332,19.346627868793234,13.548934765989696,10.920249046905182,-0.0
2020-08-31,35.91776317229411,11.470674485214138,18.710322678285667,-36.747008,-27.560255999999985,-55.12051199999999,7.455795538770465,23.44973795051139,8.602577234054436,13.820904940869674,-0.0
2020-09-30,34.533868420845664,9.974877330410996,19.15978320970971,-35.536,-26.65199999999999,-53.30399999999999,6.4424933432152,23.775365471043163,7.357627233152411,14.247984991622777,-0.0
