utc_timestamp,Energy_Balance_0,Energy_Balance_1,Energy_Balance_2,Energy_Balance_3,Energy_Balance_4,Energy_Balance_5,Energy_Balance_6,Energy_Balance_7,Energy_Balance_8,Energy_Balance_9,Total,Produced_Energy,Consumed_Energy,Prosumer_Energy%,Grounded_Energy%
2019-09-30,156.555,29.432,117.30799999999999,-7.851999999999999,-5.888999999999998,-11.777999999999997,19.6209,133.9463,23.544300000000003,91.88340000000001,546.7709,572.2899,-25.51899999999999,1.0,0.9554089631845678
2019-10-31,2075.381,510.327,1258.731,-245.0584,-183.79379999999992,-367.5875999999999,326.5965999999999,1537.7656000000002,367.39740000000006,945.7202,6225.479,7021.9187999999995,-796.4397999999999,1.0,0.8865780390396997
2019-11-30,2380.402,127.10600000000001,1936.882,-253.1312,-189.8483999999999,-379.69679999999994,57.3327999999999,2288.7772,19.471200000000067,1486.2228,7473.5176,8296.194,-822.6763999999998,1.0,0.9008368897834357
2019-12-31,2487.507,-38.034,2193.431,-265.688,-199.26599999999993,-398.5319999999999,-59.83480000000011,2578.8291000000004,-133.86359999999993,1688.3228000000001,7852.8715,8948.0899,-1095.2184,1.0,0.8776031072285047
2020-01-31,1323.799,28.654,941.81,-282.668,-212.00099999999992,-424.0019999999999,-15.275700000000107,1212.6585000000002,-80.21189999999994,682.7810000000001,3175.5439,4189.7025,-1014.1585999999999,1.0,0.7579401878773016
2020-02-29,3680.093,290.311,3065.402,-259.504,-194.62799999999993,-389.2559999999999,170.7796999999999,3534.1322000000005,163.96590000000006,2387.4456,12448.7414,13292.129400000002,-843.3879999999999,1.0,0.9365498202266974
2020-03-31,3126.3,737.104,2068.73,-256.3728,-192.27959999999993,-384.5591999999999,483.9261999999999,2435.8360000000002,567.2538000000001,1590.8908000000001,10176.8292,11010.040799999999,-833.2115999999999,1.0,0.9243225692678633
2020-04-30,2768.19,1462.092,1031.328,-219.816,-164.8619999999999,-329.72399999999993,995.9873999999999,1271.8458,1233.4518,770.1084000000001,8818.6014,9533.003400000001,-714.4019999999998,1.0,0.9250601337244879
2020-05-31,3592.619,1455.019,1854.028,-226.8576,-170.14319999999992,-340.2863999999999,990.1560999999999,2181.2168,1224.4455,1426.508,11986.7052,12723.9924,-737.2871999999998,1.0,0.942055356776227
2020-06-30,3335.976,1375.868,1677.403,-226.164,-169.6229999999999,-339.2459999999999,934.8370999999999,1986.4958000000001,1153.4697,1285.3814,11014.398000000001,11749.431,-735.0329999999999,1.0,0.9374409705457226
2020-07-31,2012.895,906.778,806.556,-239.6488,-179.73659999999992,-359.4731999999999,604.7884999999999,1036.9921000000002,726.2319000000001,585.3326000000001,5900.7155,6679.5741,-778.8585999999998,1.0,0.8833969668814664
2020-08-31,1797.439,574.029,936.324,-229.6688,-172.2515999999999,-344.50319999999994,373.11169999999987,1173.4994000000002,430.5003000000001,691.642,5230.1218,5976.545399999999,-746.4235999999999,1.0,0.8751078507660965
2020-09-30,1775.717,512.904,985.188,-222.1,-166.57499999999993,-333.1499999999999,331.2702999999999,1222.5193000000002,378.32610000000005,732.6254,5216.725100000001,5938.5501,-721.8249999999998,1.0,0.8784509707175832
